
0	3643	0
0	2294	0
0	2929	0
0	4503	0
0	4492	0
1	2328	0
1	3023	0
1	4477	0
1	3694	0
1	2072	0
2	3768	0
2	2345	0
2	4477	0
2	3694	0
2	2072	0
3	3867	0
3	2294	0
3	2929	0
3	4503	0
3	4492	0
4	4292	0
4	3107	0
4	4393	0
4	3820	0
4	2072	0
4	2798	0
4	3107	0
4	4393	0
4	3820	0
4	2072	0
5	4294	0
5	3288	0
5	2929	0
5	4503	0
5	4492	0
5	2564	0
5	3771	0
5	2383	0
5	3137	0
5	4011	0
6	4031	0
6	3107	0
6	4393	0
6	3820	0
6	2072	0
7	2694	0
7	2601	0
7	4278	0
7	2525	0
7	4492	0
8	4190	0
8	3288	0
8	2929	0
8	4503	0
8	4492	0
9	3881	0
9	3288	0
9	2929	0
9	4503	0
9	4492	0
10	3806	0
10	2601	0
10	4278	0
10	2525	0
10	4492	0
11	4146	0
11	3880	0
11	4393	0
11	3820	0
11	2072	0
12	3412	0
12	3880	0
12	4393	0
12	3820	0
12	2072	0
13	2763	0
13	2345	0
13	4477	0
13	3694	0
13	2072	0
14	3955	0
14	1595	0
14	2632	0
14	2146	0
14	1772	0
15	3360	0
15	4178	0
15	2226	0
15	2882	0
15	4492	0
16	4254	0
16	2016	0
16	3219	0
16	4439	0
16	4188	0
17	4191	0
17	3288	0
17	2929	0
17	4503	0
17	4492	0
18	1610	0
18	1788	0
18	2569	0
18	1654	0
18	4367	0
18	2058	0
18	1952	0
18	2569	0
18	1654	0
18	4367	0
18	3743	0
18	3745	0
18	2569	0
18	1654	0
18	4367	0
18	1870	0
18	3120	0
18	2569	0
18	1654	0
18	4367	0
18	4518	0
18	2984	0
18	2569	0
18	1654	0
18	4367	0
19	1737	0
19	3288	0
19	2929	0
19	4503	0
19	4492	0
20	2010	0
20	3107	0
20	4393	0
20	3820	0
20	2072	0
21	2648	0
21	4178	0
21	2226	0
21	2882	0
21	4492	0
22	2227	0
22	2865	0
22	2276	0
22	3611	0
22	3516	0
23	2695	0
23	4463	0
23	3394	0
23	2976	0
23	1772	0
24	2500	0
24	1687	0
24	1999	0
24	2222	0
24	2704	0
25	2804	0
25	3337	0
25	3314	0
25	2472	0
25	4188	0
26	2580	0
26	1788	0
26	2569	0
26	1654	0
26	4367	0
26	3012	0
26	3745	0
26	2569	0
26	1654	0
26	4367	0
26	2045	0
26	3120	0
26	2569	0
26	1654	0
26	4367	0
27	3692	0
27	1952	0
27	2569	0
27	1654	0
27	4367	0
27	3179	0
27	1952	0
27	2569	0
27	1654	0
27	4367	0
28	1966	0
28	2642	0
28	3076	0
28	2654	0
28	3097	0
28	4072	0
28	1661	0
28	1712	0
28	3078	0
28	2704	0
28	4003	0
28	2642	0
28	3076	0
28	2654	0
28	3097	0
29	2114	0
29	2865	0
29	2276	0
29	3611	0
29	3516	0
29	2344	0
29	4215	0
29	2311	0
29	3225	0
29	2704	0
30	2418	0
30	4311	0
30	2632	0
30	2146	0
30	1772	0
31	3190	0
31	3288	0
31	2929	0
31	4503	0
31	4492	0
32	3430	0
32	3023	0
32	4477	0
32	3694	0
32	2072	0
33	3686	0
33	3600	0
33	1893	0
33	4238	0
33	3516	0
34	3816	0
34	2035	0
34	3142	0
34	2882	0
34	4492	0
35	3208	0
35	2345	0
35	4477	0
35	3694	0
35	2072	0
